,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
1126,Adam Ingram,St. Cloud State,F,29,2,6,8,1,0,0,0,45,0,0,-4,90,12,20
1127,Grant Ahcan,St. Cloud State,F,36,5,6,11,0,1,2,1,37,6,1,-3,110,16,17
1128,Ethan AuCoin,St. Cloud State,F,23,3,2,5,0,0,0,0,32,5,3,-3,82,6,7
1129,Mason Reiners,St. Cloud State,D,36,0,3,3,0,0,0,0,38,1,0,2,110,4,20
1130,Cooper Wylie,St. Cloud State,D,26,2,6,8,1,1,0,0,42,0,0,1,64,24,34
1131,Daimon Gardner,St. Cloud State,F,32,5,9,14,0,1,0,0,49,16,9,0,98,14,11
1132,Warren Clark,St. Cloud State,D,20,1,3,4,0,0,0,0,16,0,0,-2,65,0,7
1133,Jack Reimann,St. Cloud State,F,35,1,3,4,0,0,0,0,45,96,41,-9,108,18,16
1134,Tyson Gross,St. Cloud State,F,36,9,16,25,4,1,0,0,81,618,337,-5,110,37,26
1135,Barrett Hall,St. Cloud State,F,34,7,15,22,1,1,0,0,67,17,6,-10,101,6,34
1136,Verner Miettinen,St. Cloud State,F,36,8,13,21,2,1,0,0,56,543,296,-5,110,10,23
1137,Thor Byfuglien,St. Cloud State,D,24,1,2,3,0,1,0,0,8,0,0,-13,76,4,8
1138,Gavyn Thoreson,St. Cloud State,F,36,6,4,10,0,0,0,0,63,7,2,-6,110,36,23
1139,Kaleb Tiessen,St. Cloud State,D,11,0,0,0,0,0,0,0,10,0,0,-3,48,2,3
1140,Isak Posch,St. Cloud State,G,22,0,0,0,0,0,0,0,0,0,0,0,57,0,0
1141,Colin Ralph,St. Cloud State,D,35,1,7,8,0,1,0,0,36,0,0,-4,109,20,17
1142,Austin Burnevik,St. Cloud State,F,35,13,15,28,6,2,0,0,110,2,0,-15,109,8,66
1143,James Gray,St. Cloud State,G,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0
1144,Jack Rogers,St. Cloud State,F,4,0,1,1,0,0,0,0,2,1,1,-1,8,2,1
1145,Robby Drazner,Western Michigan,D,36,5,9,14,0,0,0,0,33,0,0,18,86,4,21
1146,Brian Kramer,Western Michigan,D,36,1,14,15,0,0,0,0,70,1,0,28,86,12,38
1147,Cameron Rowe,Western Michigan,G,17,0,1,1,0,0,0,0,0,0,0,0,35,0,0
1148,Cam Knuble,Western Michigan,F,35,5,9,14,0,0,0,0,36,296,133,15,83,4,7
1149,Tim Washe,Western Michigan,F,36,14,18,32,2,7,0,1,101,766,483,22,86,16,12
1150,Matteo Costantini,Western Michigan,F,34,8,14,22,5,1,0,1,91,432,227,10,83,18,18
1151,Wyatt Schingoethe,Western Michigan,F,26,4,5,9,0,1,0,0,32,4,1,10,67,2,4
1152,Liam Valente,Western Michigan,F,36,12,16,28,6,1,0,0,125,1,1,8,86,10,47
1153,Tristan Lemyre,Western Michigan,F,36,6,8,14,0,2,0,1,62,7,3,2,86,16,8
1154,Samuel Sjolund,Western Michigan,D,36,3,24,27,0,0,0,1,66,0,0,19,86,18,23
1155,Grant Slukynsky,Western Michigan,F,36,8,25,33,1,1,0,0,110,497,245,19,86,2,30
1156,Cole Crusberg-Roseen,Western Michigan,D,36,2,9,11,0,0,0,0,60,0,0,25,86,10,51
1157,Alex Bump,Western Michigan,F,36,20,23,43,7,3,0,2,248,4,1,11,86,12,74
1158,Owen Michaels,Western Michigan,F,36,14,15,29,2,1,1,1,105,609,318,27,86,4,23
1159,Jack Mesic,Western Michigan,D,4,0,0,0,0,0,0,0,6,0,0,0,7,0,0
1160,Zach Nehring,Western Michigan,F,36,13,14,27,2,2,0,0,82,3,1,18,86,29,18
1161,Zack Sharp,Western Michigan,D,36,4,4,8,0,2,0,0,60,0,0,19,86,12,27
1162,Ty Henricks,Western Michigan,F,35,7,5,12,0,0,0,0,50,4,2,16,83,6,21
1163,Iiro Hakkarainen,Western Michigan,F,36,11,14,25,0,3,0,0,77,13,3,21,86,12,27
1164,Joona VÃ¤isÃ¤nen,Western Michigan,D,36,4,18,22,0,2,0,0,51,0,0,24,86,10,26
1165,Ethan Wolthers,Western Michigan,F,9,2,2,4,0,1,0,0,4,0,0,-1,15,2,3
1166,Garrett Szydlowski,Western Michigan,F,33,3,6,9,0,1,0,0,33,10,0,11,82,4,11
1167,Hampton Slukynsky,Western Michigan,G,19,0,1,1,0,0,0,0,0,0,0,0,51,0,0
1168,Ean Somoza,Western Michigan,F,1,0,0,0,0,0,0,0,1,4,1,0,2,0,0
1169,John Spetz,Connecticut,D,31,1,9,10,1,0,0,0,56,29,3,14,86,25,27
1170,Hudson Schandor,Connecticut,F,35,10,30,40,3,2,1,1,72,605,299,21,90,12,14
1171,Nick Carabin,Connecticut,D,35,3,3,6,0,0,0,0,60,0,0,7,97,16,16
1172,Thomas Messineo,Connecticut,D,35,1,6,7,0,0,0,0,42,0,0,19,97,20,21
1173,Jake Percival,Connecticut,F,35,9,8,17,1,1,2,0,87,7,0,5,97,12,13
1174,Tabor Heaslip,Connecticut,F,35,5,10,15,0,1,2,2,73,431,220,3,97,20,15
1175,Tristan Fraser,Connecticut,F,35,2,8,10,0,1,0,0,45,60,29,0,97,16,11
1176,Ryan Tattle,Connecticut,F,35,17,13,30,3,4,3,3,118,598,318,10,97,20,29
1177,Joey Muldowney,Connecticut,F,35,24,18,42,5,5,1,4,142,32,11,27,97,12,39
1178,Jake Richard,Connecticut,F,30,15,23,38,7,3,0,0,84,2,1,25,82,12,17
1179,Viking Gustafsson Nyberg,Connecticut,D,35,1,9,10,0,0,0,0,36,0,0,9,97,27,27
1180,Kai Janviriya,Connecticut,D,35,0,14,14,0,0,0,0,48,0,0,5,97,6,22
1181,Ethan Gardula,Connecticut,F,32,7,10,17,2,1,0,0,50,7,2,-2,95,17,14
1182,Kaden Shahan,Connecticut,F,35,9,4,13,1,0,0,0,98,11,3,-4,97,4,33
1183,Trey Scott,Connecticut,D,32,3,14,17,2,1,0,0,67,1,1,4,89,8,29
1184,Mike Murtagh,Connecticut,F,25,0,1,1,0,0,0,0,33,6,2,-7,78,4,2
1185,Filip Sitar,Connecticut,F,27,1,2,3,0,1,0,0,28,229,129,-5,75,2,4
1186,Callum Tung,Connecticut,G,12,0,0,0,0,0,0,0,0,0,0,-1,38,0,0
1187,Ethan Whitcomb,Connecticut,F,35,6,5,11,2,1,0,0,52,386,159,3,97,45,13
1188,Hugh Larkin,Connecticut,F,27,2,2,4,0,0,0,0,20,3,1,-4,81,37,3
1189,Thomas Heaney,Connecticut,G,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1190,Jack Pascucci,Connecticut,D,9,0,1,1,0,0,0,0,0,0,0,2,24,4,6
1191,Tyler Muszelik,Connecticut,G,21,0,2,2,0,0,0,0,1,0,0,0,59,0,0
1192,Owen Simpson,Connecticut,D,4,0,2,2,0,0,0,0,4,0,0,2,10,0,3
1193,Huston Karpman,Connecticut,F,13,0,0,0,0,0,0,0,2,7,4,0,31,0,0
1194,Carter Wilkie,North Dakota,F,37,9,9,18,1,2,0,2,94,513,273,0,111,42,30
1195,Jake Schmaltz,North Dakota,F,37,6,10,16,2,1,0,0,49,652,361,2,111,26,16
1196,Jackson Kunz,North Dakota,F,35,7,8,15,2,1,0,1,44,6,1,7,106,21,20
1197,Dane Montgomery,North Dakota,F,25,1,6,7,0,0,0,0,30,0,0,-4,81,8,16
1198,TJ Semptimphelter,North Dakota,G,30,0,0,0,0,0,0,0,0,0,0,0,89,16,0
1199,Ben Strinden,North Dakota,F,37,8,8,16,0,1,1,0,66,62,33,5,111,14,23
1200,Owen McLaughlin,North Dakota,F,37,5,23,28,0,1,0,1,72,50,20,3,111,6,34
1201,Dylan James,North Dakota,F,37,14,8,22,0,0,3,2,74,8,3,-4,111,20,22
1202,Caleb MacDonald,North Dakota,D,34,3,7,10,0,0,0,0,51,0,0,7,102,42,12
1203,Jake Livanavage,North Dakota,D,37,4,24,28,1,1,0,0,59,0,0,0,111,12,28
1204,Tanner Komzak,North Dakota,D,17,0,0,0,0,0,0,0,7,0,0,4,47,4,11
1205,Jayden Perron,North Dakota,F,30,10,9,19,6,2,0,0,79,2,0,-2,93,7,45
1206,Abram Wiebe,North Dakota,D,37,4,20,24,3,0,0,0,74,0,0,-2,111,22,41
1207,Hobie Hedquist,North Dakota,G,10,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1208,Jayden Jubenvill,North Dakota,D,36,2,4,6,0,1,0,0,32,0,0,8,109,27,20
1209,EJ Emery,North Dakota,D,30,0,1,1,0,0,0,0,36,0,0,3,88,40,31
1210,Mac Swanson,North Dakota,F,37,2,16,18,1,0,0,0,26,1,0,0,111,2,19
1211,Sacha Boisvert,North Dakota,F,36,16,14,30,4,5,0,0,94,297,135,-4,110,20,48
1212,Andrew Strathmann,North Dakota,D,29,2,2,4,0,1,0,0,30,0,0,0,86,24,17
1213,Cody Croal,North Dakota,F,22,1,5,6,0,0,0,0,25,5,1,2,61,12,9
1214,Cade Littler,North Dakota,F,32,7,2,9,0,1,0,0,30,101,46,9,95,21,8
1215,Louis Jamernik V,North Dakota,F,29,4,6,10,1,2,0,0,31,194,105,3,95,29,14
1216,Cameron Berg,North Dakota,F,25,12,9,21,7,2,0,0,66,433,211,-2,77,16,21
1217,Dalton Andrew,North Dakota,F,14,1,0,1,0,0,0,0,14,1,1,0,41,8,0
1218,Bennett Zmolek,North Dakota,D,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1
1219,Blake Biondi,Notre Dame,F,38,12,15,27,7,1,0,0,114,23,8,-12,127,14,30
1220,Grant Silianoff,Notre Dame,F,38,5,3,8,0,1,1,1,50,7,3,-8,127,18,8
1221,Zach Plucinski,Notre Dame,D,34,0,3,3,0,0,0,0,23,1,1,-9,113,18,21
1222,Ian Murphy,Notre Dame,F,38,4,7,11,0,0,0,0,46,200,88,-5,127,24,9
1223,Justin  Janicke,Notre Dame,F,37,15,19,34,8,1,2,2,71,4,0,-3,122,29,22
1224,Hunter Strand,Notre Dame,F,38,8,8,16,2,1,0,1,69,510,260,-7,127,20,22
1225,Ryan Helliwell,Notre Dame,D,37,1,6,7,0,0,0,0,22,3,1,1,126,39,25
1226,Tyler  Carpenter,Notre Dame,F,38,1,1,2,0,1,0,0,26,77,38,-14,127,0,9
1227,Owen Say,Notre Dame,G,27,0,0,0,0,0,0,0,0,0,0,0,88,0,0
1228,Axel Kumlin,Notre Dame,D,38,6,15,21,1,0,0,0,72,0,0,-5,127,12,48
1229,Danny Nelson,Notre Dame,F,36,13,13,26,4,1,0,1,123,823,471,-4,121,35,31
1230,Henry Nelson,Notre Dame,D,30,3,5,8,0,1,0,0,43,1,0,0,89,32,27
1231,Brennan Ali,Notre Dame,F,38,7,12,19,1,1,0,0,59,3,1,-1,127,18,21
1232,Maddox Fleming,Notre Dame,F,21,0,3,3,0,0,0,0,22,3,2,-3,67,10,9
1233,Jayden Davis,Notre Dame,F,22,1,2,3,0,0,0,0,8,150,75,-5,71,8,6
1234,Paul Fischer,Notre Dame,D,36,2,19,21,0,0,0,0,58,1,1,-19,121,16,46
1235,Cole Knuble,Notre Dame,F,34,12,27,39,2,3,0,1,108,391,193,6,106,12,41
1236,Carter Slaggert,Notre Dame,F,38,4,6,10,0,0,0,0,38,114,44,-7,127,16,8
1237,Jimmy Jurcev,Notre Dame,D,31,1,3,4,0,0,0,0,17,0,0,-8,111,10,19
1238,Jaedon Kerr,Notre Dame,D,19,1,3,4,0,0,0,0,12,0,0,2,67,6,7
1239,Nicholas Kempf,Notre Dame,G,13,0,0,0,0,0,0,0,0,0,0,0,51,0,0
1240,Michael Mastrodomenico,Notre Dame,D,30,4,11,15,0,1,0,0,55,1,0,-4,100,18,34
1241,Jack Larrigan,Notre Dame,F,28,1,5,6,0,0,0,0,17,1,1,-11,101,4,4
1242,Hunter Weiss,Notre Dame,D,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1243,Michael Schermerhorn,Notre Dame,F,1,0,0,0,0,0,0,0,2,0,0,-1,5,0,0
1244,Niko Jovanovic,Notre Dame,F,12,1,0,1,0,0,0,0,14,2,0,-6,48,0,2
1245,Connor Gregga,LIU,F,33,4,8,12,1,0,0,0,59,441,217,-1,76,38,18
1246,Chris Pappas,LIU,F,21,4,13,17,2,1,0,0,36,14,2,3,49,8,15
1247,Isaiah Fox,LIU,F,31,9,7,16,1,3,0,0,71,49,25,0,73,54,32
1248,John Gormley,LIU,D,34,2,0,2,0,0,0,1,33,3,1,-3,77,26,21
1249,Valtteri Piironen,LIU,D,34,1,11,12,0,0,0,0,35,1,0,8,77,8,19
1250,Josh Zary,LIU,F,29,12,7,19,7,1,0,0,78,481,289,-1,64,14,7
1251,Cade Mason,LIU,D,29,1,13,14,0,0,0,0,60,0,0,-1,68,6,46
1252,Austin Brimmer,LIU,F,31,9,12,21,4,3,0,0,60,3,2,9,72,15,11
1253,Carter Rapalje,LIU,F,34,17,13,30,8,4,2,3,114,9,3,-2,77,2,29
1254,Andrius Kulbis-Marino,LIU,D,34,3,7,10,0,1,0,1,38,2,0,6,77,9,30
1255,Heath Armstrong,LIU,F,14,0,3,3,0,0,0,0,9,27,8,1,35,2,0
1256,Noah Rupprecht,LIU,G,18,0,1,1,0,0,0,0,0,0,0,0,44,0,0
1257,Onni LeppÃ¤nen,LIU,F,20,7,10,17,3,2,0,0,29,12,8,-1,44,2,16
1258,Luca Leighton,LIU,F,23,1,7,8,0,0,0,0,38,1,0,5,52,22,7
1259,Trent Powell,LIU,D,34,2,11,13,1,1,0,0,41,0,0,9,77,8,26
1260,Isaac Lambert,LIU,F,31,7,10,17,2,0,0,1,57,91,49,1,71,15,29
1261,Nick Bernardo,LIU,D,25,2,6,8,0,0,0,0,21,0,0,3,58,10,24
1262,JR Perdion,LIU,F,31,4,14,18,1,0,0,0,50,191,79,8,68,10,17
1263,Brennan Nelson,LIU,F,16,1,3,4,0,0,0,0,16,148,80,1,26,26,3
1264,Daniel Baldassarra,LIU,F,15,3,5,8,1,0,0,0,24,1,0,8,33,2,0
1265,Garrett Valk,LIU,D,19,0,1,1,0,0,0,0,11,0,0,3,34,2,8
1266,Anthony Lucarelli,LIU,F,29,7,8,15,0,1,0,1,39,355,205,9,67,8,6
1267,Sixen JennersjÃ¶,LIU,F,16,4,3,7,0,1,0,0,25,4,1,1,41,4,11
1268,Nicholas Trela,LIU,F,21,1,5,6,0,0,0,0,20,8,4,2,52,23,9
1269,Ty Outen,LIU,G,14,0,2,2,0,0,0,0,0,0,0,0,33,2,0
1270,AJ Casperson,LIU,D,3,0,3,3,0,0,0,0,4,0,0,7,4,0,0
1271,Riley Wallack,LIU,F,14,6,5,11,2,1,1,0,31,265,143,4,40,8,6
1272,Chad Muller,LIU,F,12,4,1,5,0,1,0,0,17,0,0,6,30,14,3
1273,Michael Polston,LIU,G,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0
1274,Joshua Wildauer,Lake Superior,F,5,0,0,0,0,0,0,0,5,0,0,-2,13,2,0
1275,Dawson Tritt,Lake Superior,F,33,7,10,17,2,0,0,0,57,38,14,-11,105,33,15
1276,Timo Bakos,Lake Superior,F,34,10,12,22,3,3,0,0,58,352,180,-9,109,6,21
1277,Nate Schweitzer,Lake Superior,D,34,3,15,18,1,0,0,0,54,1,1,-9,109,42,34
1278,Grant Hindman,Lake Superior,D,36,3,3,6,0,1,0,0,42,0,0,-14,115,30,29
1279,Sasha Teleguine,Lake Superior,F,32,14,5,19,4,2,2,1,81,4,0,-4,99,34,21
1280,Connor Milburn,Lake Superior,F,28,9,14,23,3,0,0,2,57,521,262,-10,93,14,32
1281,Bryan Huggins,Lake Superior,D,32,1,4,5,0,0,0,0,26,0,0,-1,99,12,17
1282,Jordan Venegoni,Lake Superior,F,28,0,9,9,0,0,0,0,19,1,0,-2,92,6,4
1283,Johnny Druskinis,Lake Superior,D,36,4,7,11,4,1,0,0,56,2,2,-16,115,30,32
1284,Blake Humphrey,Lake Superior,F,30,2,6,8,0,0,0,0,45,21,9,-1,96,2,17
1285,Jacob Conrad,Lake Superior,D,27,6,4,10,3,0,0,0,40,0,0,8,81,4,13
1286,Evan Bushy,Lake Superior,D,33,0,14,14,0,0,0,0,35,1,1,-8,104,8,21
1287,Branden Piku,Lake Superior,F,34,9,7,16,1,2,0,0,71,2,0,-4,110,24,18
1288,Reagan Milburn,Lake Superior,F,24,7,5,12,2,0,0,0,50,2,1,-5,77,18,16
1289,Carter Batchelder,Lake Superior,F,26,3,4,7,0,2,0,0,40,316,155,-8,89,10,22
1290,John Herrington,Lake Superior,F,36,4,14,18,3,0,0,0,95,464,230,-8,115,18,43
1291,Rorke Applebee,Lake Superior,G,31,0,0,0,0,0,0,0,0,0,0,0,98,2,0
1292,Adam Barone,Lake Superior,D,16,0,1,1,0,0,0,0,19,0,0,-6,58,4,8
1293,William Ahlrik,Lake Superior,F,35,6,6,12,0,1,0,0,42,412,237,1,112,24,4
1294,Mike Brown,Lake Superior,D,30,0,2,2,0,0,0,0,35,1,1,4,94,47,23
1295,Easton Hesse,Lake Superior,G,6,0,1,1,0,0,0,0,0,0,0,0,22,0,0
1296,Luke Levandowski,Lake Superior,F,32,5,9,14,1,0,0,0,48,1,1,-2,107,4,16
1297,Wilson Dahlheimer,Lake Superior,F,19,0,3,3,0,0,0,0,20,89,40,-7,59,2,2
1298,Jack Blanchett,Lake Superior,D,6,0,0,0,0,0,0,0,5,0,0,-2,22,6,3
1299,Everett Pietila,Lake Superior,F,25,0,5,5,0,0,0,0,30,5,3,-4,74,10,7
1300,Hadley Hudak,Lake Superior,F,7,0,0,0,0,0,0,0,5,1,1,-4,21,4,0
1301,Ethan Scardina,Bowling Green,F,35,7,9,16,1,0,0,1,77,563,309,-1,81,31,22
1302,Seth Fyten,Bowling Green,F,29,1,4,5,0,0,0,0,29,1,0,-3,68,22,6
1303,Tommy Pasanen,Bowling Green,D,35,2,3,5,0,1,0,0,52,0,0,1,83,37,30
1304,Ville Immonen,Bowling Green,F,36,6,10,16,0,0,0,0,56,508,264,-1,85,4,13
1305,Ben Wozney,Bowling Green,D,36,1,5,6,0,0,0,0,39,0,0,1,85,19,39
1306,Eric Parker,Bowling Green,D,36,1,9,10,0,0,0,0,39,0,0,-4,85,6,27
1307,Jackson Niedermayer,Bowling Green,F,33,2,6,8,0,2,0,0,59,4,0,-9,78,12,10
1308,Ryan O'Hara,Bowling Green,F,36,11,22,33,3,5,0,1,138,141,82,5,85,16,41
1309,Brett Pfoh,Bowling Green,F,32,5,13,18,0,1,0,0,70,16,7,6,75,16,23
1310,Jaden Grant,Bowling Green,F,34,5,8,13,1,0,0,0,55,463,241,-1,79,20,8
1311,Dalton Norris,Bowling Green,D,36,2,15,17,2,0,0,0,53,1,1,0,85,17,48
1312,Quinn Emerson,Bowling Green,F,35,6,8,14,0,2,0,1,62,3,1,6,83,10,9
1313,Gustav Stjernberg,Bowling Green,D,30,4,12,16,2,1,0,0,89,0,0,7,71,35,35
1314,Ben Doran,Bowling Green,F,36,10,12,22,3,2,0,1,83,545,282,9,85,43,21
1315,Brody Waters,Bowling Green,F,36,16,6,22,10,3,0,0,100,4,3,5,85,20,7
1316,Matvei Kabanov,Bowling Green,F,13,2,4,6,0,0,0,0,12,1,1,0,32,2,2
1317,Breck  McKinley,Bowling Green,D,35,1,6,7,1,0,0,0,51,3,1,4,81,14,24
1318,Cole Moore,Bowling Green,G,20,0,0,0,0,0,0,0,0,0,0,0,55,0,0
1319,Adam Zlnka,Bowling Green,F,21,1,3,4,0,0,0,0,30,6,4,6,49,12,3
1320,Maxwell Martin,Bowling Green,F,32,6,3,9,1,1,0,0,70,13,5,1,71,10,19
1321,Owen Ozar,Bowling Green,F,14,1,0,1,0,0,0,0,18,2,2,-2,40,2,3
1322,Johannes LÃ¸kkeberg,Bowling Green,F,9,0,0,0,0,0,0,0,3,45,22,-2,28,4,3
1323,Christian Stoever,Bowling Green,G,18,0,0,0,0,0,0,0,0,0,0,0,34,0,0
1324,Brandon Santa Juana,Bowling Green,F,10,0,0,0,0,0,0,0,11,0,0,-3,26,2,1
1325,Ivan Korodiuk,Bowling Green,D,15,0,1,1,0,0,0,0,18,0,0,0,30,4,5
1326,Brayden Krieger,Bowling Green,F,2,0,0,0,0,0,0,0,0,0,0,-1,4,0,0
1327,Jack Blake,Bowling Green,D,10,0,0,0,0,0,0,0,1,0,0,1,17,2,2
1328,Adam Schankula,Bowling Green,F,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
1329,Austin Jouppi,Bemidji State,F,33,2,5,7,0,0,0,0,31,4,2,-9,96,12,11
1330,Eric Martin,Bemidji State,F,37,10,13,23,3,1,0,0,106,71,31,-6,109,8,42
1331,Jackson Jutting,Bemidji State,F,38,14,8,22,7,3,0,0,97,892,457,-12,114,4,29
1332,Tony Follmer,Bemidji State,D,38,2,5,7,0,0,0,0,28,0,0,-9,114,16,21
1333,Donte Lawson,Bemidji State,F,36,3,4,7,0,0,0,1,45,1,0,-2,108,2,16
1334,Jere Vaisanen,Bemidji State,F,38,7,12,19,1,0,0,0,61,474,241,-7,114,16,21
1335,Mattias Sholl,Bemidji State,G,37,0,1,1,0,0,0,0,0,0,0,0,111,0,0
1336,Will Magnuson,Bemidji State,D,35,1,4,5,0,0,0,0,22,0,0,-10,107,21,20
1337,Reilly Funk,Bemidji State,F,36,7,16,23,2,1,0,0,77,421,183,1,103,21,11
1338,A.J. Macaulay,Bemidji State,D,28,0,2,2,0,0,0,0,17,0,0,-5,87,4,21
1339,Mitch Wolfe,Bemidji State,D,38,2,6,8,0,0,0,0,68,0,0,-8,114,12,50
1340,Adam Flammang,Bemidji State,F,38,5,13,18,0,3,0,0,87,9,3,-7,114,27,32
1341,Kirklan Irey,Bemidji State,F,38,11,13,24,1,3,2,0,71,9,4,-4,114,14,34
1342,Vince Corcoran,Bemidji State,D,30,1,8,9,0,1,0,0,39,0,0,5,82,8,23
1343,Patrik Satosaari,Bemidji State,D,30,3,7,10,0,0,0,0,23,0,0,-8,99,4,20
1344,Rhys Chiddenton,Bemidji State,F,17,0,4,4,0,0,0,0,30,0,0,-2,54,4,4
1345,Jake McLean,Bemidji State,F,33,2,5,7,0,0,0,0,28,242,115,-6,100,2,12
1346,Kasper Magnussen,Bemidji State,F,37,7,9,16,6,1,0,0,64,1,0,-13,109,44,23
1347,Isa Parekh,Bemidji State,D,35,3,15,18,2,1,0,0,37,0,0,-5,103,18,29
1348,Jaksen Panzer,Bemidji State,F,26,2,3,5,0,0,0,0,47,77,43,-7,82,2,14
1349,Raythan Robbins,Bemidji State,G,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1350,Noah Quinn,Bemidji State,F,21,6,2,8,3,0,0,0,31,14,6,2,64,12,9
1351,Tory Lund,Bemidji State,F,8,0,3,3,0,0,0,0,5,0,0,0,21,0,4
1352,Ryan Henderson,Bemidji State,D,7,0,0,0,0,0,0,0,3,0,0,-3,20,2,1
1353,Carter Randklev,Bemidji State,F,18,4,2,6,0,1,0,0,27,2,0,3,45,6,5
1354,Luke Roelofs,Bemidji State,D,17,0,1,1,0,0,0,0,20,0,0,-6,50,6,7
1355,Alexi Sylvestre,Bemidji State,F,9,1,0,1,0,0,0,0,15,4,1,-3,39,0,4
1356,Noah West,Ferris State,G,35,0,1,1,0,0,0,0,0,0,0,0,120,0,0
1357,Jacob Dirks,Ferris State,F,23,1,0,1,0,0,0,0,22,127,56,-8,79,2,12
1358,Kaleb Ergang,Ferris State,F,35,6,15,21,1,1,0,0,61,11,1,3,120,6,20
1359,Zach Faremouth,Ferris State,F,33,8,5,13,3,2,0,0,66,542,324,-7,118,17,12
1360,Nico DeVita,Ferris State,D,36,1,3,4,0,0,1,0,39,5,0,-2,128,21,31
1361,Travis Shoudy,Ferris State,D,36,6,12,18,0,1,0,1,90,10,3,1,128,8,43
1362,Tyler Schleppe,Ferris State,F,29,9,9,18,2,2,0,0,64,483,251,-1,108,8,21
1363,Xavier Jean-Louis,Ferris State,D,29,2,4,6,0,0,1,0,30,0,0,2,106,14,11
1364,Max Itagaki,Ferris State,F,26,2,6,8,0,0,0,0,28,4,2,-6,96,14,6
1365,Caiden Gault,Ferris State,F,36,15,10,25,4,5,0,0,93,15,7,0,128,10,39
1366,Jacob Badal,Ferris State,F,25,4,6,10,1,0,0,0,48,7,1,1,84,6,5
1367,Andrew Noel,Ferris State,D,30,1,2,3,0,0,0,0,26,12,0,-13,104,22,20
1368,Cole Burtch,Ferris State,F,35,7,19,26,0,1,1,0,67,432,194,0,126,34,22
1369,Connor McGrath,Ferris State,F,26,0,8,8,0,0,0,0,36,170,74,-8,99,8,8
1370,Gavin Best,Ferris State,F,36,10,9,19,0,0,0,1,72,23,9,-3,128,4,21
1371,Emerson Goode,Ferris State,F,12,0,0,0,0,0,0,0,21,10,7,-9,40,6,5
1372,Trevor Taulien,Ferris State,D,36,3,9,12,0,0,0,0,62,12,1,-10,128,33,33
1373,Christopher LieÂ ,Ferris State,D,20,1,3,4,1,0,0,0,10,0,0,-6,73,6,10
1374,Kade TurnerÂ ,Ferris State,D,25,1,1,2,0,0,0,0,8,1,1,-10,92,4,8
1375,Nick Nardecchia,Ferris State,F,33,2,6,8,0,0,0,0,42,191,80,-6,114,14,17
1376,Matt CorbetÂ ,Ferris State,F,20,2,3,5,1,0,0,0,45,11,3,-4,63,12,10
1377,Logan HerouxÂ ,Ferris State,D,32,3,11,14,3,0,0,0,58,0,0,1,112,28,20
1378,Jack SilichÂ ,Ferris State,F,20,3,3,6,1,0,0,0,43,18,5,-4,81,6,13
1379,Luke LiskoÂ ,Ferris State,F,3,0,0,0,0,0,0,0,2,25,14,-3,16,2,2
1380,Conner BrownÂ ,Ferris State,D,15,0,2,2,0,0,0,0,14,0,0,-3,46,4,2
1381,Connor McDonoughÂ ,Ferris State,G,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1382,Josh Groll,Minnesota State,F,36,13,18,31,0,2,1,1,88,193,106,32,57,31,49
1383,Kaden Bohlsen,Minnesota State,F,26,10,5,15,1,0,0,1,64,27,11,13,44,31,28
1384,Jordan Power,Minnesota State,D,34,2,5,7,0,0,0,0,40,3,0,9,53,29,20
1385,Brian Carrabes,Minnesota State,F,37,10,10,20,1,2,0,1,92,7,2,11,58,8,35
1386,Brenden Olson,Minnesota State,F,34,1,3,4,0,0,0,0,34,0,0,5,51,8,8
1387,Zach Krajnik,Minnesota State,F,37,6,5,11,0,2,1,1,61,10,2,9,58,6,16
1388,Rhett Pitlick,Minnesota State,F,37,13,25,38,3,5,0,1,96,1,0,32,58,14,55
1389,Steven Bellini,Minnesota State,D,31,1,5,6,1,0,0,0,21,0,0,5,47,4,11
1390,Will Hillman,Minnesota State,F,37,3,7,10,0,1,0,0,56,458,181,6,58,21,33
1391,Campbell Cichosz,Minnesota State,D,33,1,7,8,0,0,0,0,51,4,2,22,53,8,30
1392,Adam Eisele,Minnesota State,F,35,13,13,26,4,6,0,0,87,615,337,22,55,47,44
1393,Alex Tracy,Minnesota State,G,36,0,0,0,0,0,0,0,0,0,0,0,57,0,0
1394,Mason Wheeler,Minnesota State,D,37,0,6,6,0,0,0,0,34,7,0,22,58,13,18
1395,Luc Wilson,Minnesota State,F,30,7,6,13,0,1,0,1,63,5,2,1,49,24,37
1396,Fin Williams,Minnesota State,F,19,1,1,2,0,1,0,0,9,95,54,1,25,2,7
1397,Evan Murr,Minnesota State,D,37,6,20,26,4,2,0,0,75,1,0,18,58,8,48
1398,Jakob Stender,Minnesota State,D,35,3,2,5,0,0,0,1,38,186,66,2,55,13,9
