PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Spencer Marquis,Merrimack,G,1,0,0,0,0,0,0,0,0,0,0
Conor Lovett,New Hampshire,F,35,40,5,1,6,1,0,0,0,10,4
Nikolai Jenson,New Hampshire,D,28,86,2,4,6,0,2,0,0,33,35
Luke Reid,New Hampshire,D,35,157,1,11,12,0,0,0,0,10,44
Luis Lindner,New Hampshire,D,28,64,0,6,6,0,0,0,0,4,21
Robert Cronin,New Hampshire,F,35,87,17,11,28,8,2,0,0,20,11
Liam Devlin,New Hampshire,F,35,151,9,14,23,2,0,0,1,40,35
Alex Gagne,New Hampshire,D,35,160,4,13,17,1,1,0,0,46,44
Connor Sweeney,New Hampshire,F,35,56,2,6,8,0,0,0,0,8,6
Colton Huard,New Hampshire,D,35,146,0,10,10,0,0,0,0,22,40
Jack Babbage,New Hampshire,D,19,36,1,0,1,0,0,0,0,6,8
Jared Whale,New Hampshire,G,31,0,0,0,0,0,0,0,0,0,0
Kristaps Skrastins,New Hampshire,F,32,86,3,3,6,0,0,0,0,4,16
Morgan Winters,New Hampshire,F,26,70,2,12,14,0,1,0,1,8,12
Cy LeClerc,New Hampshire,F,33,124,8,20,28,1,1,0,0,12,20
Marty Lavins,New Hampshire,F,35,146,8,9,17,2,1,0,1,34,29
Brendan Fitzgerald,New Hampshire,D,32,71,1,2,3,0,0,0,0,24,25
J.P. Turner,New Hampshire,F,34,105,5,8,13,0,2,1,0,22,16
Jason Siedem,New Hampshire,F,32,44,3,8,11,0,0,0,0,4,10
Nick Ring,New Hampshire,F,35,97,9,11,20,7,1,0,0,4,23
Ryan Conmy,New Hampshire,F,34,258,15,18,33,3,2,0,0,6,75
Ryan MacPherson,New Hampshire,F,18,11,1,1,2,0,0,0,0,2,2
Ronan Walsh,New Hampshire,F,12,6,0,0,0,0,0,0,0,15,2
Rico DiMatteo,New Hampshire,G,8,0,0,0,0,0,0,0,0,0,0
Josh Player,New Hampshire,D,13,17,0,0,0,0,0,0,0,2,7
Connor MacPherson,New Hampshire,F,5,2,0,0,0,0,0,0,0,0,0
Raphael Gaughan,New Hampshire,G,1,0,0,0,0,0,0,0,0,0,0
Jake Higgins,Northeastern,D,35,35,2,1,3,0,0,0,0,4,14
Jake Boltmann,Northeastern,D,34,61,2,10,12,0,0,0,0,39,24
Ryan McGuire,Northeastern,F,36,82,4,3,7,1,0,1,1,14,12
Cristophe Tellier,Northeastern,F,35,90,5,13,18,0,0,0,0,34,19
Vinny Borgesi,Northeastern,D,31,145,5,16,21,0,2,0,0,14,44
Cam Lund,Northeastern,F,36,287,17,21,38,4,3,0,0,14,54
Jackson Dorrington,Northeastern,D,36,140,2,12,14,0,0,0,0,18,33
Nick RhÃ©aume,Northeastern,F,36,85,2,1,3,1,0,0,0,39,10
Joaquim Lemay,Northeastern,D,29,120,3,9,12,1,0,0,0,29,40
Jack Williams,Northeastern,F,36,194,16,25,41,3,3,1,1,25,37
Jack Williams,Notre Dame,G,1,0,0,0,0,0,0,0,0,0,0
Dylan Hryckowian,Northeastern,F,35,172,16,19,35,2,4,1,2,24,25
Andy Moore,Northeastern,F,35,32,0,3,3,0,0,0,0,10,3
Eli Sebastian,Northeastern,F,32,59,1,0,1,0,0,0,0,0,12
Cameron Whitehead,Northeastern,G,34,0,0,1,1,0,0,0,0,0,0
Jack Henry,Northeastern,D,29,28,0,1,1,0,0,0,0,6,8
Joe Connor,Northeastern,F,36,181,7,9,16,1,2,0,0,47,38
Griffin Erdman,Northeastern,F,35,51,1,2,3,0,0,0,0,2,8
James Fisher,Northeastern,F,23,23,1,1,2,0,0,0,0,6,4
Ben Poitras,Northeastern,F,28,42,1,2,3,0,0,0,0,26,9
Seth Constance,Northeastern,D,34,13,0,1,1,0,0,0,0,4,4
Anthony Messuri,Northeastern,F,15,2,0,1,1,0,0,0,0,0,0
Billy Norcross,Northeastern,F,21,18,0,1,1,0,0,0,0,2,5
Kyle Furey,Northeastern,D,2,0,0,0,0,0,0,0,0,0,0
Quentin Sigurdson,Northeastern,G,6,0,0,1,1,0,0,0,0,0,0
Nolan Hayes,Northeastern,D,5,3,0,0,0,0,0,0,0,2,1
Ethan Fredericks,Northeastern,F,5,4,0,0,0,0,0,0,0,0,2
David Ma,Princeton,D,30,99,6,7,13,2,0,0,0,33,35
Noah de la Durantaye,Princeton,D,29,137,4,6,10,2,2,0,0,8,52
Alex Konovalov,Princeton,F,27,51,3,8,11,0,1,0,0,6,10
Ethan Pearson,Princeton,G,17,0,0,0,0,0,0,0,0,0,0
Tyler Rubin,Princeton,D,17,55,2,3,5,0,0,0,0,12,14
Jayden Sison,Princeton,F,24,34,2,4,6,0,0,0,0,10,4
Brendan Gorman,Princeton,F,30,105,12,14,26,2,3,2,1,12,20
Kevin Anderson,Princeton,F,28,88,5,4,9,2,0,0,0,27,14
David Jacobs,Princeton,F,24,66,3,11,14,0,0,0,0,0,12
Nick Marciano,Princeton,D,30,114,4,10,14,2,1,0,0,4,34
Jaxson Ezman,Princeton,F,30,97,7,8,15,1,2,0,0,28,23
Brendan Wang,Princeton,D,24,37,1,1,2,1,0,0,0,2,10
Ian Devlin,Princeton,D,30,55,1,3,4,0,0,0,0,12,16
Carson Buydens,Princeton,F,29,71,1,3,4,0,0,0,0,24,22
Joshua Karnish,Princeton,F,29,52,1,2,3,0,0,0,0,19,12
Jake Manfre,Princeton,F,30,101,8,9,17,3,2,0,0,12,17
Drew Garzone,Princeton,F,25,52,1,3,4,0,0,0,0,6,10
Miles Gunty,Princeton,F,29,79,3,7,10,0,0,0,0,4,22
Luc Pelletier,Princeton,F,29,47,3,5,8,1,0,0,0,35,8
Michael Young,Princeton,F,11,13,0,2,2,0,0,0,0,0,1
Arthur Smith,Princeton,G,13,0,0,0,0,0,0,0,0,0,0
Kai Greaves,Princeton,D,29,73,2,1,3,0,0,0,0,2,30
Julian Facchinelli,Princeton,F,2,2,0,0,0,0,0,0,0,0,0
Pat Reilly,Princeton,D,9,7,0,0,0,0,0,0,0,2,3
Nick Poisson,Providence,F,36,116,8,8,16,0,2,1,1,16,15
Chase Yoder,Providence,F,36,144,5,5,10,1,0,0,2,18,20
Connor Kelley,Providence,D,36,68,1,3,4,0,0,0,0,24,14
Ryan O'Reilly,Providence,F,25,50,6,3,9,0,0,0,0,6,4
Cam Gendron,Providence,F,7,6,0,0,0,0,0,0,0,0,1
Logan Will,Providence,F,36,120,8,15,23,3,3,0,0,4,14
Guillaume Richard,Providence,D,36,112,2,12,14,0,0,1,0,14,30
Taige Harding,Providence,D,36,66,2,12,14,0,1,0,1,46,20
Austen May,Providence,D,33,130,0,13,13,0,0,0,0,6,38
Philip SvedebÃ¤ck,Providence,G,25,0,0,2,2,0,0,0,0,0,0
Hudson Malinoski,Providence,F,34,148,11,12,23,4,2,0,0,14,30
Graham Gamache,Providence,F,36,108,10,10,20,0,1,2,0,8,14
Tanner Adams,Providence,F,36,130,11,11,22,2,3,0,2,8,21
Andrew Centrella,Providence,D,33,73,2,12,14,0,0,0,0,8,25
Tomas Machu,Providence,D,29,61,2,4,6,0,2,0,0,25,18
Alexander Bales,Providence,D,31,71,2,3,5,0,1,0,0,10,21
Will Elger,Providence,F,35,117,8,10,18,2,1,0,0,4,26
Trevor Connelly,Providence,F,22,140,4,9,13,1,1,0,0,29,47
Logan Sawyer,Providence,F,36,142,6,10,16,2,2,0,0,10,21
John Mustard,Providence,F,36,192,7,13,20,2,1,0,0,14,40
Aleksi Kivioja,Providence,F,27,52,3,5,8,0,0,0,2,10,7
Braiden Clark,Providence,F,16,30,1,2,3,0,0,0,0,2,5
Zachary Borgiel,Providence,G,12,0,0,0,0,0,0,0,0,0,0
Carl Fish,Providence,D,9,11,0,0,0,0,0,0,0,0,4
Clint Levens,Providence,F,22,37,3,3,6,0,1,0,0,18,3
Jack Agnew,Rensselaer,D,20,31,1,2,3,0,0,0,0,4,11
Elliott McDermott,Rensselaer,D,35,125,3,15,18,1,0,0,0,4,37
Jakob Lee,Rensselaer,F,35,107,13,7,20,1,2,0,2,26,18
Dovar Tinling,Rensselaer,F,32,88,10,10,20,2,1,0,2,18,19
John Beaton,Rensselaer,F,34,93,6,13,19,3,2,0,1,0,20
Jack Brackett,Rensselaer,F,35,101,6,11,17,0,2,1,0,10,20
Jake Gagnon,Rensselaer,F,33,125,8,7,15,1,1,0,0,12,30
Arvils Bergmanis,Rensselaer,D,35,117,4,4,8,2,0,0,0,22,39
Noah Giesbrecht,Rensselaer,G,30,0,0,1,1,0,0,0,0,0,0
William Gilson,Rensselaer,D,35,173,8,16,24,1,1,0,0,26,50
Max Smolinski,Rensselaer,D,35,167,5,10,15,1,0,0,0,6,63
Nathan Sullivan,Rensselaer,F,20,19,2,2,4,0,0,0,0,0,7
Tyler Hotson,Rensselaer,F,35,121,6,16,22,1,0,0,0,47,36
Brad McNeil,Rensselaer,F,35,45,2,3,5,0,0,0,1,2,2
Jeremie Payant,Rensselaer,F,32,65,3,3,6,0,0,0,0,6,11
Jimmy Goffredo,Rensselaer,D,35,86,2,3,5,0,0,0,0,20,27
Gustavs Ozolins,Rensselaer,D,31,60,1,2,3,0,0,0,0,2,28
Rainers Rullers,Rensselaer,F,34,70,5,8,13,0,0,0,0,25,19
Felix Caron,Rensselaer,F,35,114,6,15,21,3,1,0,1,62,33
Jagger Tapper,Rensselaer,F,29,62,8,12,20,3,2,0,3,8,14
Lucas Matta,Rensselaer,D,17,33,0,0,0,0,0,0,0,8,6
Jack Watson,Rensselaer,G,8,0,0,1,1,0,0,0,0,0,0
Nick Strom,Rensselaer,D,6,12,0,1,1,0,0,0,0,2,3
Brody Maguire,Rensselaer,D,13,18,0,1,1,0,0,0,0,8,8
